3,2574,1
0,2582,3
1,2582,3
2,2582,3
3,2585,0
1,2585,0
0,2589,1
2,2589,1
3,2589,1
1,2596,2
3,2596,2
0,2596,3
2,2596,3
1,2600,0
0,2605,1
2,2605,1
3,2605,1
1,2611,2
3,2611,2
1,2611,3
2,2611,3
3,2615,0
1,2615,0
0,2619,1
2,2619,1
3,2619,1
3,2627,2
0,2627,3
2,2627,3
3,2631,0
1,2631,0
0,2634,1
2,2634,1
3,2634,1
1,2641,2
1,2645,0
0,2649,1
2,2649,1
3,2649,1
1,2656,2
3,2656,2
0,2656,3
1,2656,3
2,2656,3
3,2660,0
1,2660,0
0,2664,1
1,2671,2
0,2671,3
1,2671,3
2,2671,3
3,2675,0
2,2680,1
3,2680,1
1,2686,2
3,2686,2
0,2686,3
2,2686,3
3,2690,0
1,2690,0
0,2694,1
2,2694,1
3,2694,1
1,2702,2
3,2702,2
0,2702,3
1,2702,3
3,2706,0
1,2706,0
0,2709,1
2,2709,1
3,2716,2
0,2716,3
1,2716,3
2,2716,3
1,2720,0
2,2724,1
3,2724,1
1,2731,2
3,2731,2
0,2731,3
1,2731,3
2,2731,3
3,2735,0
0,2739,1
2,2739,1
3,2739,1
1,2746,2
3,2746,2
1,2746,3
2,2746,3
3,2751,0
1,2751,0
0,2755,1
3,2755,1
1,2761,2
3,2761,2
0,2761,3
1,2761,3
2,2761,3
1,2765,0
3,2769,1
1,2777,2
3,2777,2
0,2777,3
1,2777,3
2,2777,3
3,2780,0
2,2784,1
3,2784,1
1,2791,2
3,2791,2
0,2791,3
1,2791,3
2,2791,3
3,2795,0
1,2795,0
0,2799,1
2,2799,1
1,2806,2
3,2806,2
0,2806,3
1,2806,3
2,2806,3
3,2810,0
1,2810,0
0,2814,1
2,2814,1
3,2814,1
1,2822,2
3,2822,2
0,2822,3
2,2822,3
3,2826,0
1,2826,0
0,2830,1
2,2830,1
3,2830,1
3,2836,2
0,2836,3
1,2836,3
2,2836,3
3,2840,0
2,2844,1
3,2844,1
3,2851,2
0,2851,3
1,2851,3
2,2851,3
3,2855,0
1,2855,0
2,2859,1
1,2866,2
3,2866,2
0,2866,3
1,2866,3
2,2866,3
3,2870,0
0,2875,1
3,2875,1
1,2881,2
3,2881,2
1,2881,3
3,2885,0
1,2885,0
0,2889,1
2,2889,1
3,2889,1
1,2897,2
3,2897,2
0,2897,3
1,2897,3
2,2897,3
3,2901,0
1,2901,0
2,2904,1
1,2911,2
3,2911,2
0,2911,3
1,2911,3
2,2911,3
3,2915,0
1,2915,0
0,2919,1
2,2919,1
3,2919,1
1,2926,2
3,2926,2
0,2926,3
2,2926,3
3,2930,0
1,2930,0
2,2934,1
1,2941,2
3,2941,2
0,2941,3
1,2941,3
2,2941,3
3,2946,0
1,2946,0
